auto,fecha,monto_recibido
1,2019-01-07,
17,2019-01-07,200.0
16,2019-01-07,750.0
15,2019-01-07,250.0
13,2019-01-07,920.0
12,2019-01-07,115.0
11,2019-01-07,270.0
10,2019-01-07,110.0
14,2019-01-07,276.0
8,2019-01-07,558.05
7,2019-01-07,109.5
6,2019-01-07,910.0
5,2019-01-07,5.0
4,2019-01-07,470.0
3,2019-01-07,392.5
9,2019-01-07,315.0
18,2019-01-08,1635.0
19,2019-01-08,1800.0
20,2019-01-08,400.0
21,2019-01-08,450.0
28,2019-01-09,3000.0
31,2019-01-09,320.0
30,2019-01-09,650.0
29,2019-01-09,1100.0
27,2019-01-09,8450.0
32,2019-01-09,78.0
25,2019-01-09,89.0
24,2019-01-09,100.0
23,2019-01-09,800.0
22,2019-01-09,766.0
26,2019-01-09,102.0
43,2019-01-10,110.0
42,2019-01-10,246.0
41,2019-01-10,620.0
40,2019-01-10,400.0
39,2019-01-10,221.0
38,2019-01-10,40.0
37,2019-01-10,1340.0
36,2019-01-10,1120.0
35,2019-01-10,612.0
34,2019-01-10,146.0
33,2019-01-10,169.5
54,2019-01-11,255.0
55,2019-01-11,290.0
53,2019-01-11,550.0
52,2019-01-11,370.0
51,2019-01-11,1020.0
50,2019-01-11,730.0
45,2019-01-11,324.5
48,2019-01-11,720.0
47,2019-01-11,950.0
46,2019-01-11,120.0
44,2019-01-11,827.0
49,2019-01-11,194.0
56,2019-01-12,1520.0
57,2019-01-12,861.0
58,2019-01-12,265.0
59,2019-01-12,95.0
66,2019-01-14,380.0
68,2019-01-14,121.0
67,2019-01-14,500.0
65,2019-01-14,75.0
64,2019-01-14,500.0
63,2019-01-14,450.0
62,2019-01-14,543.0
61,2019-01-14,729.0
60,2019-01-14,915.0
69,2019-01-15,619.0
70,2019-01-15,45.0
71,2019-01-15,150.0
72,2019-01-15,740.0
73,2019-01-15,250.0
74,2019-01-15,1400.0
83,2019-01-16,530.0
82,2019-01-16,11.0
81,2019-01-16,750.0
80,2019-01-16,120.0
77,2019-01-16,757.0
78,2019-01-16,290.0
76,2019-01-16,750.0
75,2019-01-16,80.0
79,2019-01-16,550.0
92,2019-01-17,180.0
98,2019-01-17,12.0
97,2019-01-17,185.0
95,2019-01-17,180.0
94,2019-01-17,100.0
93,2019-01-17,480.0
91,2019-01-17,350.0
96,2019-01-17,100.0
89,2019-01-17,420.0
88,2019-01-17,230.0
87,2019-01-17,262.0
86,2019-01-17,126.0
85,2019-01-17,250.0
84,2019-01-17,770.0
90,2019-01-17,420.0
114,2019-01-18,160.0
113,2019-01-18,180.0
112,2019-01-18,300.0
111,2019-01-18,410.0
110,2019-01-18,140.0
108,2019-01-18,250.0
107,2019-01-18,370.0
109,2019-01-18,250.0
105,2019-01-18,201.0
104,2019-01-18,100.0
103,2019-01-18,180.0
102,2019-01-18,109.0
101,2019-01-18,500.0
100,2019-01-18,314.0
99,2019-01-18,155.0
106,2019-01-18,200.0
122,2019-01-19,129.0
121,2019-01-19,290.0
120,2019-01-19,32.0
119,2019-01-19,91.0
117,2019-01-19,172.0
116,2019-01-19,260.0
115,2019-01-19,178.0
118,2019-01-19,550.0
129,2019-01-21,190.0
132,2019-01-21,54.0
131,2019-01-21,203.0
130,2019-01-21,107.0
128,2019-01-21,160.0
127,2019-01-21,770.0
126,2019-01-21,90.0
125,2019-01-21,460.0
124,2019-01-21,236.0
123,2019-01-21,300.0
133,2019-01-22,200.0
134,2019-01-22,34.0
