ds,real,yhat,yhat_lower,yhat_upper,residuo
2024-05-07,870.5,1439.2631967677141,-161.8311591564648,3073.812467433926,-568.7631967677141
2024-05-08,1361.5,1489.8623321651353,-147.79383226371942,3278.8011945731505,-128.36233216513529
2024-05-09,1364.0,1263.6887676138942,-404.14972057734445,2895.6455843754507,100.31123238610576
2024-05-10,2176.0,1056.5932481126933,-728.4859835113047,2712.2718748213247,1119.4067518873067
2024-05-11,2037.0,1320.889019229101,-473.4788295641022,3056.7181773866255,716.110980770899
2024-05-12,1526.0,1301.8099012407342,-446.6046497648571,2818.922488694368,224.19009875926577
2024-06-01,677.0,928.7171297104569,-832.2907904659172,2557.785744150221,-251.7171297104569
2024-06-02,2314.0,319.8667699030357,-1358.0489644116487,1977.594988724836,1994.1332300969643
2024-06-03,2064.0,437.49002961564224,-1319.2567243430115,2109.8155403780365,1626.5099703843578
2024-06-04,547.0,830.3657696337441,-825.695193877566,2447.446109892587,-283.3657696337441
2024-06-05,1653.5,1134.0346362345942,-526.6088652477515,2845.7314414765115,519.4653637654058
2024-06-06,1347.5,1048.74993334222,-543.8569187183782,2681.3309067422306,298.75006665778005
2024-06-07,1208.0,-244.20880213206976,-1781.254206030343,1487.6102712953168,1452.2088021320696
2024-06-09,2016.0,-1986.67132997979,-3584.522884990652,-276.20098380936145,4002.6713299797902
2024-06-11,1296.5,-2937.571129071152,-4524.344865851949,-1162.7097231564467,4234.0711290711515
2024-06-12,3138.0,-1617.3200150973996,-3121.796320800496,127.16960039267494,4755.3200150974
2024-07-02,1307.0,1004.7985789513393,-524.2366229495179,2654.8522841648423,302.2014210486607
2024-07-03,2496.0,3392.9887203718135,1866.5260530438138,5076.821295094206,-896.9887203718135
2024-07-05,1944.0,4252.565236443426,2604.068346138833,5812.248626581364,-2308.5652364434263
2024-07-06,829.5,2523.9183205999548,966.756448441346,4240.51710426,-1694.4183205999548
2024-07-08,1336.0,-587.1975084793012,-2229.661770419995,1089.1291736299836,1923.1975084793012
2024-07-09,1207.0,-3194.1899389519463,-4940.159982429143,-1627.075693101374,4401.189938951946
2024-07-10,1460.0,-3356.1060973503177,-4928.85554260535,-1695.2305190800598,4816.106097350317
2024-07-11,890.0,-1748.2749030190457,-3338.818551389032,-114.67682684918752,2638.2749030190457
2024-07-12,1942.0,429.28361611233765,-1290.8948432024822,2089.108419096175,1512.7163838876622
2024-08-01,2434.5,2244.499267377262,601.8212895245645,3773.2576717739626,190.00073262273781
2024-08-02,1416.0,2666.7891334114565,1045.4770067317963,4414.509036007471,-1250.7891334114565
2024-08-03,1127.0,2247.4360315398453,558.6481172534889,3904.6952571981997,-1120.4360315398453
2024-08-04,1182.0,1677.2519974360657,-97.80150681115673,3205.0836775075304,-495.2519974360657
2024-08-05,1925.0,1862.7772509453462,296.8628703126622,3569.3032876703423,62.22274905465383
2024-08-06,587.0,2009.9520875258575,354.9967026251494,3640.7713198085007,-1422.9520875258575
2024-08-07,1647.0,1856.2156442422624,164.3230184514387,3470.2327544567015,-209.21564424226244
2024-08-08,1708.0,1798.9320136011975,-29.320756476145117,3523.395363901732,-90.93201360119747
2024-08-10,1816.0,1572.8527741283533,-104.43101313052313,3135.494376769827,243.1472258716467
2024-08-11,758.0,1473.492736043293,-138.45094896626784,3216.234197789647,-715.492736043293
2024-09-01,3124.0,1317.3489933876785,-343.8773880423936,2963.8077770320137,1806.6510066123215
2024-09-02,1632.0,1379.4330479524772,-285.71162331470396,3057.0192388458804,252.56695204752282
2024-09-03,1507.0,1003.0902335643634,-590.8482706647112,2627.6626164271365,503.9097664356366
2024-09-04,1017.0,568.4719845357299,-1021.611627719471,2269.050789672684,448.5280154642701
2024-09-05,1107.0,865.8773615875916,-747.6019110697637,2594.7749661608923,241.12263841240838
2024-09-07,1322.0,1284.5681548414213,-355.4234923043297,2944.8110784950873,37.43184515857865
2024-09-08,3053.5,1308.544800047038,-355.90161649047866,3027.8863225468685,1744.955199952962
2024-09-09,2043.0,270.9856040921352,-1436.438956919495,1950.4691941851925,1772.0143959078648
2024-09-10,2012.5,-1141.780292830831,-2834.353508074419,510.1677445445545,3154.280292830831
2024-09-11,2073.5,-2498.411815691272,-4287.002202584316,-736.7296959248387,4571.911815691272
2024-09-12,2685.0,-2499.7057452977065,-4118.704019796399,-754.0715225059338,5184.705745297706
2024-10-01,2089.0,-353.6466705967367,-2047.9653629800312,1480.0372713152776,2442.646670596737
2024-10-02,1168.5,2392.4437657263397,699.8303561371637,4061.7965958023383,-1223.9437657263397
2024-10-04,1031.0,4035.113203287577,2463.7288762328158,5648.013420454481,-3004.113203287577
2024-10-05,1864.0,3254.8120984053094,1621.4630616957672,4830.988000602746,-1390.8120984053094
2024-10-06,1510.5,886.5354096052477,-791.0709358326307,2634.536911343254,623.9645903947523
2024-10-07,2054.0,-2026.138869323091,-3704.4051673524573,-370.3602678811877,4080.138869323091
2024-10-08,1202.5,-3607.99589227097,-5241.810674633049,-2020.8867213891717,4810.49589227097
2024-10-09,1956.1,-2714.46232136393,-4441.54999125275,-1019.0521418865668,4670.56232136393
2024-10-10,2313.0,-599.778523369273,-2142.5407900259324,1102.6665480175752,2912.778523369273
2024-10-12,1607.0,1407.4184912203832,-358.724122047316,3075.161521395865,199.5815087796168
2024-11-01,3212.0,2239.383213348814,660.0755870261908,3789.7168569945557,972.616786651186
2024-11-03,1905.0,2439.144807149713,737.9148259182301,4020.039101191658,-534.144807149713
2024-11-04,1542.0,2065.667502807445,434.51916166102046,3680.77835335684,-523.6675028074451
2024-11-05,1835.6,1770.3735488169882,170.31032318446262,3257.7780196739886,65.2264511830117
2024-11-06,2115.5,2052.152840924592,414.25168723369535,3573.797046006254,63.347159075407944
2024-11-07,2208.0,2102.9299217132057,456.8864339256902,3739.8839424682747,105.07007828679434
2024-11-09,1693.0,1847.4804643802568,286.5890641142557,3524.412853649404,-154.48046438025676
2024-11-10,2340.0,1370.6234626253733,-309.34687105961444,2992.56723620098,969.3765373746267
2024-11-11,1378.0,1473.3788864051317,-146.8342149932423,3216.132286596222,-95.37888640513165
2024-11-12,1093.0,1553.874777608059,-151.73309713666447,3131.6995181706625,-460.87477760805905
2024-12-01,2637.0,1406.5025470714318,-300.39331474990934,2960.0707611139323,1230.4974529285682
2024-12-03,1523.0,1265.419909323358,-398.0707717011623,2980.537062245733,257.58009067664193
2024-12-04,1910.9,792.875050906527,-788.237576326516,2432.0859337122065,1118.024949093473
2024-12-06,2135.0,528.7599686883442,-1068.5478373363403,2233.007362875285,1606.240031311656
2024-12-07,1226.0,600.1729920384774,-957.9593320047665,2352.8646769550583,625.8270079615226
2024-12-08,2797.0,1149.8641384856523,-436.23319407483365,2821.0582860970394,1647.1358615143477
2024-12-09,1873.0,825.7894474193956,-814.1092764502075,2594.370408575131,1047.2105525806044
2024-12-10,563.0,-639.931306400447,-2282.1672361595306,1117.5197487591495,1202.931306400447
2024-12-11,1333.5,-2182.901897321509,-3900.5824758099243,-505.88012948398267,3516.401897321509
2024-12-12,1030.0,-3016.928565151304,-4643.35246849926,-1412.3006410504631,4046.928565151304
2025-01-02,1216.5,-2083.955068721142,-3770.042108228514,-331.92244075419364,3300.455068721142
2025-01-03,726.5,225.5093417624737,-1437.0259209975065,1790.9662367815836,500.9906582375263
2025-01-04,2771.5,2882.9650480135133,1285.5090634502767,4605.064415142105,-111.4650480135133
2025-01-07,2381.0,3541.143518361114,1750.5954103907452,5212.707632750076,-1160.1435183611138
2025-01-08,2049.0,1690.6209232630013,83.57178136792909,3446.4834936792386,358.37907673699874
2025-02-01,2154.0,-1157.6297486411954,-2931.205294960224,503.5833044172186,3311.6297486411954
2025-02-04,1551.0,-3573.225142706336,-5260.59099952421,-1848.3142711760538,5124.225142706337
2025-02-05,2921.0,-4038.3756200911857,-5745.736259307222,-2249.7119642828334,6959.375620091186
2025-02-06,1114.0,-2651.5206107107892,-4497.953585611089,-1040.358016999764,3765.5206107107892
2025-02-07,1791.5,-107.47325457225793,-1755.6074302067072,1629.4857801528317,1898.973254572258
2025-02-08,1486.5,1606.873051873882,10.676780702882212,3288.012714492367,-120.3730518738821
2025-03-01,2389.0,2008.7895771905673,333.44412537724804,3698.6147891917412,380.21042280943266
2025-03-02,2583.0,1952.4148944002338,387.2646926567164,3631.842043854515,630.5851055997662
2025-03-04,1021.0,1670.0203399231782,6.507917542658085,3282.795535556546,-649.0203399231782
2025-03-05,1336.0,1642.7431933536927,-65.60398777543273,3276.0540708660537,-306.74319335369273
2025-03-06,1882.0,1651.3241230161389,-54.16569716851588,3303.9808313428875,230.67587698386114
2025-03-07,1832.0,1936.5250576690314,299.695480432036,3651.352784465917,-104.52505766903141
2025-04-01,1654.0,1839.2566263341018,246.45493384188057,3492.3786825221237,-185.25662633410184
2025-04-02,2397.0,1640.7900358608417,-59.78717704346847,3347.2117627061016,756.2099641391583
2025-04-04,927.0,1938.4907715936995,119.4034998114259,3651.549473104622,-1011.4907715936995
2025-04-06,1432.0,2089.664397050438,496.2351400572649,3865.1024180113873,-657.6643970504379
2025-04-07,3999.5,1943.6380023183624,242.43583954624762,3504.8397274956146,2055.8619976816376
2025-04-08,2257.0,1418.6502436211736,-290.5736884998379,3138.800186275766,838.3497563788264
2025-05-02,2566.5,1398.637623715043,-348.1831718593203,3061.190421436167,1167.862376284957
2025-05-03,2345.5,1618.2622737470629,-89.8662923681754,3250.1839091654833,727.2377262529371
2025-05-04,530.0,2014.451814063359,447.2034093874818,3640.7620321635354,-1484.451814063359
2025-05-05,2391.0,2374.499839720227,706.468105779733,4097.699996585061,16.5001602797729
2025-05-06,1507.5,1574.090677476352,-126.69632555050231,3167.0851430540783,-66.59067747635208
2025-05-07,1203.5,-124.22619177697322,-1739.371759926668,1574.7678834674095,1327.7261917769733
2025-05-08,1306.5,-1712.157564683959,-3438.8142732136926,-191.4034248050789,3018.657564683959
2025-06-01,2708.0,-1384.559220654694,-2983.403139853969,333.4348623526066,4092.559220654694
2025-06-02,1040.0,597.1412828740687,-1000.0299614610166,2192.139386534014,442.8587171259313
2025-06-03,2045.5,3235.4605102009805,1569.5823773246577,4777.3915051322965,-1189.9605102009805
2025-06-05,3458.5,5132.331591341117,3451.141147444921,6809.968705427738,-1673.831591341117
2025-06-06,2606.5,4512.667601232991,2867.5241064535917,6210.8369659884265,-1906.1676012329908
2025-07-01,1519.0,1789.4533292308943,-33.99888619736352,3421.092245297016,-270.45332923089427
2025-07-02,1695.0,-1415.2443815883314,-3142.0863349123742,216.8243348381077,3110.2443815883316
2025-07-03,1974.0,-2719.004441798032,-4545.748331807546,-1063.9535138633735,4693.004441798032
2025-07-04,2934.0,-2029.7334481513644,-3727.788465377803,-292.8689462732825,4963.733448151364
2025-07-05,752.0,-51.19468549321857,-1805.0563126114141,1591.4610760174926,803.1946854932186
2025-07-07,2432.0,2193.6624120857473,591.847238796989,3907.7800909165876,238.3375879142527
2025-08-01,2011.0,3181.517215487698,1531.4356836322115,4825.326973053991,-1170.5172154876982
2025-08-02,3241.0,3033.0177136554857,1307.2266642253908,4676.341929176727,207.98228634451425
2025-08-03,1287.0,2384.9285877568427,772.8124761093969,4163.659256695636,-1097.9285877568427
2025-08-04,2881.5,2394.89719238612,786.7554104730267,3949.4363803150136,486.60280761388003
2025-08-05,2731.0,2508.0922578096615,753.5213397117313,4230.068339372951,222.90774219033847
2025-08-07,2780.5,2465.453711483937,845.4007023909744,4212.958808066771,315.0462885160632
2025-08-08,1493.0,2495.808047253218,683.6586224720044,4100.77510282686,-1002.8080472532179
2025-09-01,1799.0,2226.6371529581684,541.4582105759533,3939.4397736503774,-427.6371529581684
2025-09-04,1726.5,2034.7453817450096,470.6115363864302,3578.872028377025,-308.2453817450096
2025-09-05,1752.0,1894.2085006664029,199.90281426350677,3611.4279009277147,-142.20850066640287
2025-09-06,1862.0,2103.8260094110547,394.37256413876656,3839.2168332754986,-241.82600941105466
2025-09-07,2076.0,1842.3054041938726,333.1215970694058,3462.7873810114856,233.69459580612738
2025-09-08,1817.5,1319.3181926776429,-365.2677384376866,2934.458479241057,498.18180732235714
2025-10-01,2632.5,1377.3965227292156,-367.0485996874994,3092.4022292883797,1255.1034772707844
2025-10-02,2830.5,1685.1108859152073,-9.73506218894756,3350.7460528029005,1145.3891140847927
2025-10-03,2261.92,1960.056510425347,245.66459530538813,3635.6006507462944,301.86348957465316
2025-10-04,1642.0,1425.4733980335277,-344.9909623689953,3056.609288094994,216.5266019664723
2025-10-05,3358.0,317.5165238578399,-1401.1697083774563,2030.3868614444305,3040.4834761421603
2025-10-06,1880.0,-1354.9434038422282,-2959.0550065571283,219.84925179756812,3234.9434038422282
2025-10-07,2583.0,-2258.069151167633,-3932.8789412067445,-566.2664210797459,4841.069151167633
2025-11-01,2267.0,-1030.6595542572336,-2656.6636690680107,676.4477982972259,3297.6595542572336
2025-11-02,2372.0,1479.0185751427184,-183.03138710329512,3227.879779100285,892.9814248572816
2025-11-03,1983.0,3818.3198678329873,2183.950098084117,5439.728873864158,-1835.3198678329873
2025-11-04,2097.5,4216.474059133254,2552.458524993248,5853.503317197707,-2118.974059133254
2025-11-06,2628.0,2669.4729081547566,1021.9752290709398,4379.573601596595,-41.472908154756624
2025-11-07,1943.5,-365.73328345646155,-2080.484920300662,1254.3333860969242,2309.2332834564613
2025-11-08,1085.0,-2909.5391659857764,-4547.76632689335,-1179.6336714147662,3994.5391659857764
2025-12-02,2331.5,-3139.4043943811384,-4614.6268709278565,-1306.119528341591,5470.904394381138
2025-12-03,1747.5900000000001,-1609.9415509720407,-3317.2432855963957,114.69859072915887,3357.531550972041
2025-12-04,1265.0,561.4061287498309,-1086.821393711086,2289.7762309949494,703.5938712501691
2025-12-05,1080.0,1965.6457106108546,286.23220803284744,3670.0433886196206,-885.6457106108546
2025-12-06,1819.75,2626.71207801957,935.0870380539187,4265.867470642572,-806.9620780195701
2025-12-07,1552.0,2345.77945714196,700.733025472284,3918.418559187659,-793.7794571419599
2025-12-08,2946.75,1905.1805377756696,430.7595553792608,3568.8441445257718,1041.5694622243304
