ds,real,prediccion,residuo
2024-05-08,1925.0,1540.2446,384.75537109375
2024-05-09,1107.0,1895.0203,-788.020263671875
2024-05-10,1864.0,1834.949,29.051025390625
2024-05-11,1835.6,1236.6733,598.9266601562499
2024-05-13,2023.0,3373.0137,-1350.013671875
2024-05-14,1796.0,2671.8962,-875.896240234375
2024-05-15,1425.0,2575.5212,-1150.521240234375
2024-05-16,1794.6,1208.3479,586.2520996093749
2024-05-17,1830.5,1593.4642,237.0357666015625
2024-05-18,1253.5,1144.0328,109.4671630859375
2024-05-20,1990.0,2213.7197,-223.7197265625
2024-05-21,888.0,1044.9181,-156.9180908203125
2024-05-22,979.8,2000.998,-1021.198046875
2024-05-23,1655.0,1802.1952,-147.1951904296875
2024-05-24,1036.0,1806.1521,-770.152099609375
2024-05-25,738.5,2368.9434,-1630.443359375
2024-05-27,2304.9,1752.9583,551.9417480468751
2024-05-28,568.4,1869.4232,-1301.0232177734374
2024-05-29,1392.0,2048.6323,-656.63232421875
2024-05-31,1859.0,1994.3956,-135.3956298828125
2024-06-01,1036.0,1614.7238,-578.7237548828125
2024-06-03,1991.0,1659.3701,331.6298828125
2024-06-04,904.5,2246.465,-1341.965087890625
2024-06-05,1966.0,2049.8523,-83.852294921875
2024-06-06,1347.5,1595.8634,-248.3634033203125
2024-06-07,829.5,2360.514,-1531.013916015625
2024-06-08,587.0,1536.04,-949.0400390625
2024-06-10,1510.5,1490.5718,19.92822265625
2024-06-11,2115.5,1860.9193,254.5806884765625
2024-06-12,2135.0,2271.4636,-136.463623046875
2024-06-13,1710.0,1670.6376,39.3624267578125
2024-06-14,1584.0,1831.487,-247.487060546875
2024-06-15,1006.7,1415.1775,-408.47749023437495
2024-06-17,2588.5,2107.7236,480.7763671875
2024-06-18,1172.5,1543.415,-370.9150390625
2024-06-19,2702.0,1419.0453,1282.9547119140625
2024-06-20,1398.0,2234.698,-836.697998046875
2024-06-21,225.0,1946.8774,-1721.87744140625
2024-06-22,1653.0,1888.2772,-235.2772216796875
2024-06-24,1750.5,1601.2714,149.2286376953125
2024-06-25,2268.5,2063.4255,205.074462890625
2024-06-26,1701.0,1812.4559,-111.4559326171875
2024-06-27,2048.0,1953.6742,94.3258056640625
2024-06-28,1485.0,2311.5034,-826.50341796875
2024-06-29,1197.5,1883.2598,-685.759765625
2024-07-01,3227.5,1958.9775,1268.5224609375
2024-07-02,2999.0,2347.689,651.31103515625
2024-07-03,1841.0,2629.5393,-788.539306640625
2024-07-04,2613.0,1335.4269,1277.5731201171875
2024-07-05,870.5,2316.8784,-1446.37841796875
